GeneID	RNA.seq_LADC55
LOC101928391	2
SLC9A1	1483
WDTC1	2762
TMEM222	722
ACTG1P20	28
SYTL1	827
MAP3K6	1365
FCN3	208
CD164L2	161
GPR3	58
WASF2	2769
LOC105376892	1
AHDC1	1338
FGR	794
LINC02574	1
IFI6	24488
FAM76A	376
STX12	3834
PPP1R8	1353
THEMIS2	1163
RPA2	1410
SMPDL3B	1337
XKR8	230
EYA3	724
PTAFR	1198
DNAJC8	2931
ATP5IF1	1413
SESN2	730
MED18	333
PHACTR4	2107
RCC1	2913
SNHG3	686
SNORA73A	20
SNORA73B	26
TRNAU1AP	1075
SNHG12	943
SNORD99	31
SNORA61	145
SNORA44	27
SNORA16A	48
RAB42	304
TAF12	991
LINC01715	12
RNU11	0
GMEB1	503
YTHDF2	2988
OPRD1	10
EPB41	2703
TMEM200B	350
SRSF4	2189
MECR	436
PTPRU	1668
LOC105378617	3
MATN1	35
MATN1-AS1	84
LAPTM5	20123
MIR4420	4
LOC105378620	25
LINC01778	32
SDC3	3153
PUM1	3856
SNORD103A	14
SNORD103B	12
LOC107984935	2
NKAIN1	3
SNRNP40	902
ZCCHC17	1165
FABP3	263
SERINC2	6143
LOC105378625	0
LOC105379772	0
LDC1P	0
LINC01226	7
LOC105378626	30
TINAGL1	428
HCRTR1	265
PEF1	1773
PEF1-AS1	119
105378628	0
COL16A1	515
LOC101929444	13
ADGRB2	186
SPOCD1	213
PTP4A2	9579
KHDRBS1	4005
TMEM39B	476
KPNA6	3339
TXLNA	2850
CCDC28B	82
TMEM234	336
IQCC	118
DCDC2B	86
EIF3I	3554
MTMR9LP	139
FAM167B	91
LCK	181
HDAC1	3014
MARCKSL1	3546
LOC105378629	2
TSSK3	92
FAM229A	10
BSDC1	3256
ZBTB8B	16
ZBTB8A	395
LOC102723870	5
ZBTB8OS	573
RBBP4	4754
SYNC	1428
KIAA1522	6307
YARS1	3743
S100PBP	1055
FNDC5	79
HPCA	47
TMEM54	844
LOC105378632	1
RNF19B	1083
AK2	4128
AZIN2	109
112268224	8
TRIM62	241
ZNF362	867
A3GALT2	2
PHC2	3492
MIR3605	114
PHC2-AS1	1
ZSCAN20	204
CSMD2	35
105378640	0
LOC105378641	1
LOC105378642	0
