GeneID,Intensity.LUAD_phos_01T
SMIM13,240356491
RGPD1;RGPD2,0
RGPD1;RGPD2;RANBP2;RGPD4;RGPD3,0
HSPA1B;HSPA1A,0
HSPA1B;HSPA1A;HSPA6;HSPA7,0
PGBD3,0
GLI3,117489340
ZBTB48,117878340
GLI4,0
TROVE2,0
RRAS,0
ARAF,0
HIST1H1E,154102040
HIST1H1E;HIST1H1B;HIST1H1D;HIST1H1C;HIST1H1A,0
HIST1H1E;HIST1H1D,205065040
SPP1,1399195605
PTPRF,0
NR2F6,0
NR2F1,0
MAPT,0
PRKAR1A,149507040
KIT,116199240
HSPD1,120421540
CLU,0
IRF1,0
HSPA5,0
MAP2,143075040
SLC2A1,121701040
SLC2A3,0
EPB41,116729340
PYGB,0
RALA,0
BCR,263210881
ERG,0
TOP1,0
TOP2A,232733421
G6PD,0
ESRRA,0
DMD,359810941
SFTPC,0
IGF2R,518125921
SRF,116390940
MS4A1,0
COL6A1,115972390
COL6A3,121208940
TPR,122059640
ANXA3,0
BCKDHA,492002081
SKI,0
ACTN1,0
ACE,0
CDH1,240372481
SRC,497179821
XRCC6,116207640
UNG,0
NR2C1,0
GP1BB,167085040
RNH1,234940781
CYBA,147959040
SCG2,0
CFTR,0
VCAN,303289581
ITGA4,138009040
CEACAM1,118013240
HLA-A,554363121
HLA-E,0
HLA-DRB4,0
LCP1,346826081
PLS3,115670320
APEH,0
GYS1,237190281
PRKAR2A,1402318122
CCDC130,0
CD99,116141140
PRKCSH,0
HCLS1,116951440
PKM,361037421
HSP90B1,238867281
SLC2A4,0
HNRNPL,0
DARS,0
ETS1,117426640
JUP,239585981
BRAF,265142081
PVR,0
PGAM2;PGAM1;PGAM4,0
IFNGR1,0
B4GALT1,0
EZR,0
ATF2,233204281
UCHL3,0
FOSL2,133746040
NME1;NME2;NME2P1,128825040
HIVEP1,0
RPS2,0
TCF4,0
TCF3,0
DSP,171376040
MUC1,120997540
CD44,362079691
ITGB4,231173281
SPN,0
CBR1,0
CREB1,118519540
PECAM1,239260581
PPP3CB,115425310
NCK1,132617040
GCFC2,705714563
HIST1H1B,989950002
HIST1H1D,387052281
HIST1H1C,1003351081
POR,0
EPB42,0
MGMT,0
ATP2A2,139197040
STMN1,477317162
STMN1;STMN2,116693540
YBX3,0
YBX3;YBX1;YBX2,0
ZNF22,144056040
ZKSCAN1,241967481
ZSCAN20,115617070
HMGA1,410741121
TMEM11,118587340
IFNAR1,120949840
PRKCA,289133081
JUNB,0
GJA1,143893040
UBTF,0
JUND,0
ATF7,0
PRKACA,120661840
PRKACA;PRKACG;PRKACB,0
DES,506217592
PTPN2,117766440
CTPS1,259287081
PFKL,0
IGFBP3,133271040
SPI1,0
TCP1,116600840
PTPN1,247825681
ARF4,117908440
PTPRA,0
NELFE,355895521
LAG3,0
PGAM1,243311681
PGAM1;PGAM4,0
RCC1,279596040
SDC1,116569840
LIG1,235454881
XRCC1,606267541
PAM,116849040
MYL12A;MYL12B;MYL9,0
PLCG1,115992340
NCL,242369571
ELK1,0
TRIM21,0
TFEB,124653440
TFE3,265470581
SLC9A1,268863481
ITIH2,116118340
NFKB1,0
NCF2,0
TYMP,0
ATP2B1,265997981
ATP2B1;ATP2B2,138516040
EIF2S2,270544181
CD33,132377040
TPSB2;TPSAB1;TPSD1,0
CD22,0
RAB4A,0
RAB6A,128784040
MX2,0
LMNB1,315833081
LMNB1;LMNB2,207194040
HOXA5,115822320
BCL3,119390140
CAST,998103224
PTMS,0
CDK11B,0
CDK11B;CDK11A,847517402
CSRP1,131301040
FLNA;FLNC,116887440
NF1,476982012
MAOA,0
S1PR1,0
TNFAIP3,0
TAF1,0
C5AR1,136107040
TBXA2R,0
MSR1,374704521
VDAC1,151621040
ERBB3,241544081
TGM2,124216240
OSBP,901158943
FBL,0
CDH3,116321840
PAICS,0
SCP2,0
UBA1,0
ENPP1,123998940
FGFR4,0
HIST1H1T,0
HNRNPA2B1,117427240
RFX1,123980740
CBL,0
PRKACB,0
MRC1,0
FBLN1,160215040
TCEA1,130002040
SFPQ,0
KEL,0
HRC,358228921
RPS3,190187040
PTPRG,116939240
PTPRZ1,0
SP100,1330726265
MCC,237375281
NFYA,124443340
CFL1,133511040
EIF4B,116362740
ATP2B4,0
PAX7,0
EEF1B2,336613081
AKAP5,0
IGFBP5,116029740
PRKCH,130660040
TNC,546456081
POLR2A,901866783
APC,241808881
ADRBK1,0
PTAFR,0
F2R,0
MCM3,273540081
BRD2,0
FAS,120411540
YY1,133680040
DNAJB1;DNAJB4,117344140
DNAJB2,0
ATP5A1,0
PSMA3,0
MSN,232439271
PTPN3,242010881
DNMT1,0
U2AF2,389616081
RPL13,0
PTBP1,115608640
ZFP36,0
PLN,121803040
IL3RA,0
STOM,0
MAPK3,243308081
MARK3,0
MARK3;MARK2;MARK4;MARK1,252527481
ARNT,0
RPA1,0
DCK,0
CAD,118154640
CALR,0
PDE4A,0
MAP4,1734826716
PIK3R1,0
PSMA5,0
HLA-DMB,0
CHAT,0
TEAD1,0
SMARCA1,125348040
MAPK1,250778781
ERCC5,369467421
GRN,0
PTPRM,0
EPHA2,0
EPHB2,117765140
PTPN6,116350840
SHC1,233042781
ARID4A,117282640
KDM5A,0
TKT,240523781
NOS3,354474621
LMOD1,541919162
OAS2,117489140
MARCKS,630664162
AQP1,127042040
PRDX6,0
PEBP1,139309040
FCER1G,0
CDC25B,0
NKTR,399746121
NMT1,0
HLA-F,118341640
LRPAP1,0
