Ensembl_gene_id	p53_mock_2
ENSMUSG00000038146	26
ENSMUSG00000039031	923
ENSMUSG00000076562	2073
ENSMUSG00000058447	0
ENSMUSG00000007783	3
ENSMUSG00000096326	2691
ENSMUSG00000051910	143
ENSMUSG00000045455	155
ENSMUSG00000076435	2929
ENSMUSG00000038357	131
ENSMUSG00000003420	2096
ENSMUSG00000004356	3482
ENSMUSG00000051378	158
ENSMUSG00000069622	12
ENSMUSG00000081926	0
ENSMUSG00000019823	6056
ENSMUSG00000099366	2
ENSMUSG00000054191	99
ENSMUSG00000028717	131
ENSMUSG00000083626	0
ENSMUSG00000091712	5
ENSMUSG00000020447	6
ENSMUSG00000028655	28
ENSMUSG00000045165	2471
ENSMUSG00000027562	1039
ENSMUSG00000099927	353
ENSMUSG00000036882	163
ENSMUSG00000089698	43
ENSMUSG00000040270	13012
ENSMUSG00000034795	101
ENSMUSG00000084836	119
ENSMUSG00000025403	1488
ENSMUSG00000029370	128
ENSMUSG00000041762	1435
ENSMUSG00000034248	5841
ENSMUSG00000026390	771
ENSMUSG00000034041	3182
ENSMUSG00000079192	98
ENSMUSG00000033307	1081
ENSMUSG00000009739	1857
ENSMUSG00000100514	66
ENSMUSG00000025795	2931
ENSMUSG00000098692	96
ENSMUSG00000059791	1323
ENSMUSG00000030790	112
ENSMUSG00000043873	313
ENSMUSG00000056602	5387
ENSMUSG00000053137	2387
ENSMUSG00000031389	15831
ENSMUSG00000082101	96
ENSMUSG00000004929	281
ENSMUSG00000041736	858
ENSMUSG00000082570	81
ENSMUSG00000038065	497
ENSMUSG00000020669	40
ENSMUSG00000052684	523
ENSMUSG00000007872	1069
ENSMUSG00000002068	716
ENSMUSG00000020184	2927
ENSMUSG00000032265	2121
ENSMUSG00000061356	148
ENSMUSG00000094840	105
ENSMUSG00000084261	3
ENSMUSG00000096544	2011
ENSMUSG00000022817	1267
ENSMUSG00000011179	2626
ENSMUSG00000025364	3959
ENSMUSG00000018983	2186
ENSMUSG00000042462	268
ENSMUSG00000031112	1849
ENSMUSG00000034361	84
ENSMUSG00000064208	0
ENSMUSG00000027639	22021
ENSMUSG00000083061	0
ENSMUSG00000022475	3230
ENSMUSG00000038351	371
ENSMUSG00000038560	35
ENSMUSG00000094075	1366
ENSMUSG00000069302	268
ENSMUSG00000040747	17986
ENSMUSG00000052544	548
ENSMUSG00000054720	1809
ENSMUSG00000082653	272
ENSMUSG00000024588	753
ENSMUSG00000033544	2917
ENSMUSG00000002944	3261
ENSMUSG00000010142	6405
ENSMUSG00000101188	2464
ENSMUSG00000031659	14397
ENSMUSG00000061742	20
ENSMUSG00000096144	120
ENSMUSG00000035711	5166
ENSMUSG00000069516	4052
ENSMUSG00000043102	185
ENSMUSG00000031802	1029
ENSMUSG00000078636	939
ENSMUSG00000038295	4
ENSMUSG00000054619	316
ENSMUSG00000049892	13
ENSMUSG00000001348	4311
ENSMUSG00000058019	240
ENSMUSG00000026853	1036
ENSMUSG00000042121	4007
ENSMUSG00000044534	815
ENSMUSG00000044083	25
ENSMUSG00000081788	13
ENSMUSG00000022964	1321
ENSMUSG00000035960	1023
ENSMUSG00000034055	1599
ENSMUSG00000049744	10604
ENSMUSG00000098650	1137
ENSMUSG00000053931	3825
ENSMUSG00000039908	558
ENSMUSG00000034401	729
ENSMUSG00000090223	47
ENSMUSG00000021983	24
ENSMUSG00000033036	70
ENSMUSG00000032776	2597
ENSMUSG00000004568	12909
ENSMUSG00000048087	349
ENSMUSG00000025875	90
ENSMUSG00000026558	626
ENSMUSG00000048078	713
ENSMUSG00000074575	370
ENSMUSG00000048807	36
ENSMUSG00000044456	5998
ENSMUSG00000051314	730
ENSMUSG00000024056	498
ENSMUSG00000041642	15648
ENSMUSG00000030577	41780
ENSMUSG00000028217	927
ENSMUSG00000024659	315
ENSMUSG00000022180	397
ENSMUSG00000019899	99
ENSMUSG00000092560	53
ENSMUSG00000044770	3366
ENSMUSG00000054293	1358
ENSMUSG00000022044	0
ENSMUSG00000059708	539
ENSMUSG00000059422	15
ENSMUSG00000085917	479
ENSMUSG00000037138	10281
ENSMUSG00000081441	10
ENSMUSG00000055612	619
ENSMUSG00000032902	582
ENSMUSG00000028914	1438
ENSMUSG00000081569	76
ENSMUSG00000027219	9146
ENSMUSG00000013846	4859
ENSMUSG00000022483	1
ENSMUSG00000033327	417
ENSMUSG00000035273	881
ENSMUSG00000028766	313
ENSMUSG00000109510	16
ENSMUSG00000062727	1018
ENSMUSG00000054641	0
ENSMUSG00000024013	7066
ENSMUSG00000030256	963
ENSMUSG00000028076	2732
ENSMUSG00000036781	680
ENSMUSG00000034792	462
ENSMUSG00000022094	579
ENSMUSG00000025980	3684
ENSMUSG00000035215	92
ENSMUSG00000032009	12356
ENSMUSG00000031613	2107
ENSMUSG00000029106	8887
ENSMUSG00000021270	10467
ENSMUSG00000022428	155
ENSMUSG00000091228	903
ENSMUSG00000083121	322
ENSMUSG00000073802	9
ENSMUSG00000074417	330
ENSMUSG00000025104	1515
ENSMUSG00000019312	419
ENSMUSG00000000708	1790
ENSMUSG00000037606	1604
ENSMUSG00000061758	1040
ENSMUSG00000050600	8497
ENSMUSG00000029270	2031
ENSMUSG00000094102	197
ENSMUSG00000094439	18
ENSMUSG00000101932	29
ENSMUSG00000032889	0
ENSMUSG00000031390	807
ENSMUSG00000021123	1957
ENSMUSG00000021867	89
ENSMUSG00000072676	89
ENSMUSG00000005447	773
ENSMUSG00000014599	296
ENSMUSG00000005732	1671
ENSMUSG00000100862	5974
ENSMUSG00000034245	304
ENSMUSG00000008843	48
ENSMUSG00000020183	2623
ENSMUSG00000027858	597
ENSMUSG00000053801	557
ENSMUSG00000035202	8529
ENSMUSG00000031146	1237
ENSMUSG00000095514	55
ENSMUSG00000015968	562
ENSMUSG00000060791	3080
ENSMUSG00000029463	179
ENSMUSG00000003309	137
ENSMUSG00000040247	8915
ENSMUSG00000038175	4894
ENSMUSG00000022586	43
ENSMUSG00000020649	461
ENSMUSG00000056144	10837
ENSMUSG00000097012	212
ENSMUSG00000039457	399
ENSMUSG00000053846	6
ENSMUSG00000030365	4103
ENSMUSG00000099703	145
ENSMUSG00000043415	919
ENSMUSG00000025743	5667
ENSMUSG00000024334	4588
ENSMUSG00000025357	8714
ENSMUSG00000034868	7846
ENSMUSG00000078695	323
ENSMUSG00000050627	5640
ENSMUSG00000032890	1134
ENSMUSG00000040711	247
ENSMUSG00000107539	18
ENSMUSG00000028069	710
ENSMUSG00000023000	7
ENSMUSG00000040751	4254
ENSMUSG00000095210	544
ENSMUSG00000044197	1282
ENSMUSG00000037638	129
ENSMUSG00000054263	642
ENSMUSG00000001027	1404
ENSMUSG00000034126	411
ENSMUSG00000001082	848
ENSMUSG00000006732	690
ENSMUSG00000051727	522
ENSMUSG00000050666	321
ENSMUSG00000099702	4475
ENSMUSG00000062846	8
ENSMUSG00000075046	0
ENSMUSG00000021236	2719
ENSMUSG00000040093	1583
ENSMUSG00000020053	1455
ENSMUSG00000034317	2267
ENSMUSG00000041189	518
ENSMUSG00000044434	7
ENSMUSG00000058492	10
ENSMUSG00000001305	740
ENSMUSG00000022075	3030
ENSMUSG00000095704	46
ENSMUSG00000017969	214
ENSMUSG00000039084	505
ENSMUSG00000045868	39684
ENSMUSG00000031618	282
ENSMUSG00000005800	49
ENSMUSG00000024912	41
ENSMUSG00000078616	606
ENSMUSG00000027199	302
ENSMUSG00000010136	57
ENSMUSG00000042675	2155
ENSMUSG00000105043	128
ENSMUSG00000038058	2384
ENSMUSG00000024401	504
ENSMUSG00000020534	642
ENSMUSG00000091498	26
ENSMUSG00000038967	150
ENSMUSG00000107705	1590
ENSMUSG00000055200	249
ENSMUSG00000010021	189
ENSMUSG00000040596	597
ENSMUSG00000014453	12615
ENSMUSG00000034059	86
ENSMUSG00000031162	60
ENSMUSG00000008393	1013
ENSMUSG00000020798	1015
ENSMUSG00000057541	1213
ENSMUSG00000015656	44913
ENSMUSG00000022517	4515
ENSMUSG00000066108	41
ENSMUSG00000038578	5497
ENSMUSG00000006356	398
ENSMUSG00000024901	16
ENSMUSG00000070471	16
ENSMUSG00000018168	28318
ENSMUSG00000093930	1101
ENSMUSG00000013707	1756
ENSMUSG00000059743	471
ENSMUSG00000035049	1068
ENSMUSG00000035919	1539
ENSMUSG00000020865	1901
ENSMUSG00000005873	2721
ENSMUSG00000052131	160
ENSMUSG00000034424	277
ENSMUSG00000047250	1223
ENSMUSG00000028931	2513
ENSMUSG00000048007	222
ENSMUSG00000099974	485
ENSMUSG00000107951	12
ENSMUSG00000064168	564
ENSMUSG00000040990	9920
ENSMUSG00000026447	8893
ENSMUSG00000028436	3471
ENSMUSG00000051998	7044
ENSMUSG00000101750	0
ENSMUSG00000084362	109
ENSMUSG00000035179	34
ENSMUSG00000037601	1336
ENSMUSG00000078606	23514
ENSMUSG00000042606	598
ENSMUSG00000094796	308
ENSMUSG00000038279	1768
ENSMUSG00000010048	586
ENSMUSG00000046761	53
ENSMUSG00000057706	248
ENSMUSG00000018381	2376
ENSMUSG00000030255	224
ENSMUSG00000019302	3959
ENSMUSG00000060950	441
ENSMUSG00000001588	11662
ENSMUSG00000029101	277
ENSMUSG00000036533	384
ENSMUSG00000040888	608
ENSMUSG00000081094	23
ENSMUSG00000042210	87
ENSMUSG00000069792	244
ENSMUSG00000042129	3691
ENSMUSG00000042354	1722
ENSMUSG00000020116	582
ENSMUSG00000022659	125
ENSMUSG00000036944	1217
ENSMUSG00000038963	152
ENSMUSG00000030313	8743
ENSMUSG00000049422	744
ENSMUSG00000005534	3834
ENSMUSG00000054901	7
ENSMUSG00000038725	117
ENSMUSG00000030750	1119
ENSMUSG00000047368	3146
ENSMUSG00000030657	3540
ENSMUSG00000095366	79
ENSMUSG00000096850	79
ENSMUSG00000034394	28
ENSMUSG00000092261	98
ENSMUSG00000074497	8275
ENSMUSG00000025757	1255
ENSMUSG00000029657	1662
ENSMUSG00000080941	0
ENSMUSG00000025491	51
ENSMUSG00000040710	14200
ENSMUSG00000029178	7252
ENSMUSG00000028633	719
ENSMUSG00000037960	258
ENSMUSG00000029650	1089
ENSMUSG00000036046	5549
ENSMUSG00000015176	2149
ENSMUSG00000026815	45
ENSMUSG00000042500	720
ENSMUSG00000022048	2480
ENSMUSG00000078921	2633
ENSMUSG00000070498	23
ENSMUSG00000082277	246
ENSMUSG00000039264	9609
ENSMUSG00000052087	2181
ENSMUSG00000020781	546
ENSMUSG00000068747	1825
ENSMUSG00000057262	26
ENSMUSG00000055675	3267
ENSMUSG00000020231	455
ENSMUSG00000015947	459
ENSMUSG00000023031	192
ENSMUSG00000004665	7950
ENSMUSG00000032035	38606
ENSMUSG00000042766	46
ENSMUSG00000038155	173
ENSMUSG00000049916	53
ENSMUSG00000096292	120
ENSMUSG00000096074	2180
ENSMUSG00000031543	445
ENSMUSG00000069008	279
ENSMUSG00000035000	6002
ENSMUSG00000001056	872
ENSMUSG00000098369	17
ENSMUSG00000039145	3416
ENSMUSG00000076552	210
ENSMUSG00000106031	51
ENSMUSG00000032333	1342
ENSMUSG00000074800	1191
ENSMUSG00000019822	919
ENSMUSG00000061947	56
ENSMUSG00000021947	236
ENSMUSG00000032834	1354
ENSMUSG00000022237	563
ENSMUSG00000082423	15
ENSMUSG00000000934	234
ENSMUSG00000096883	97
ENSMUSG00000015222	116
ENSMUSG00000022651	72
ENSMUSG00000099517	447
ENSMUSG00000020154	255
ENSMUSG00000093392	25
ENSMUSG00000079299	14
ENSMUSG00000038776	3230
ENSMUSG00000083979	70
ENSMUSG00000025201	0
ENSMUSG00000056612	696
ENSMUSG00000035776	386
ENSMUSG00000026399	25796
ENSMUSG00000081058	766
ENSMUSG00000030872	8954
ENSMUSG00000040592	37949
ENSMUSG00000064288	674
ENSMUSG00000005718	264
ENSMUSG00000057337	15331
ENSMUSG00000055538	988
ENSMUSG00000020176	37
ENSMUSG00000030465	2024
ENSMUSG00000026923	2203
ENSMUSG00000020592	805
